id,player_name,team,total_points,points_per_game,now_cost,starts,points_per_start,pts/£,Fix 1-6 ,new_points,diff_vs_prev_year
381,Mohamed Salah,Liverpool,344,9.1,14.5,38,9.052631578947368,23.724137931034484,2.0,346.0,2.0
119,Bryan Mbeumo,Man Utd,236,6.2,8.0,38,6.2105263157894735,29.5,1.0,244.0,8.0
235,Cole Palmer,Chelsea,214,5.8,10.5,36,5.944444444444445,20.38095238095238,1.0,222.0,8.0
499,Alexander Isak,Newcastle,211,6.2,10.5,34,6.205882352941177,20.095238095238095,2.0,209.0,-2.0
525,Chris Wood,Nott'm Forest,200,5.6,7.5,35,5.714285714285714,26.666666666666668,1.0,194.0,-6.0
624,Jarrod Bowen,West Ham,193,5.7,8.0,34,5.676470588235294,24.125,3.0,188.0,-5.0
64,Ollie Watkins,Aston Villa,186,4.9,9.0,31,6.0,20.666666666666668,3.0,180.0,-6.0
135,Yoane Wissa,Brentford,185,5.3,7.5,34,5.4411764705882355,24.666666666666668,2.0,183.0,-2.0
383,Luis Díaz Marulanda,Liverpool,183,5.1,8.0,28,6.535714285714286,22.875,2.0,185.0,2.0
430,Erling Haaland,Man City,181,5.8,14.0,31,5.838709677419355,12.928571428571429,1.0,179.0,-2.0
450,Matheus Santos Carneiro da Cunha,Man Utd,178,5.4,8.0,29,6.137931034482759,22.25,1.0,190.0,12.0
449,Bruno Borges Fernandes,Man Utd,174,4.8,9.0,35,4.9714285714285715,19.333333333333332,1.0,193.0,19.0
82,Antoine Semenyo,Bournemouth,165,4.5,7.0,36,4.583333333333333,23.571428571428573,3.0,169.0,4.0
47,Morgan Rogers,Aston Villa,161,4.4,7.0,37,4.351351351351352,23.0,3.0,166.0,5.0
489,Jacob Murphy,Newcastle,159,4.5,6.5,31,5.129032258064516,24.46153846153846,2.0,165.0,6.0
81,Justin Kluivert,Bournemouth,158,4.6,7.0,29,5.448275862068965,22.571428571428573,3.0,155.0,-3.0
287,Jordan Pickford,Everton,158,4.2,5.5,38,4.157894736842105,28.727272727272727,1.0,166.0,8.0
324,Alex Iwobi,Fulham,156,4.1,6.5,35,4.457142857142857,24.0,2.0,159.0,3.0
515,Morgan Gibbs-White,Nott'm Forest,154,4.5,7.5,34,4.529411764705882,20.533333333333335,1.0,155.0,1.0
