id,player_name,team,Fix 1-6 ,Position,start_cost,total_points,new_points,diff_vs_prev_year,points_per_game,prev_season_cost,starts,points_per_start,pts/£,Fix 1-12,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
381,Mohamed Salah,Liverpool,2,MID,13,344,346,2,9,14,38,9.1,28,2,,,,,,,,,
487,Harvey Barnes,Newcastle,2,MID,7,130,128,-2,4,6,17,7.5,20,1,,Team,GW 1-6,,GW 1-12,,GW 1-3,GW 3-6,GW 7-12
452,Amad,Man Utd,1,MID,5,129,133,4,5,5,20,6.7,27,1,,Arsenal,1,,3,,1,2,3
450,Matheus Cunha,Man Utd,1,MID,7,178,190,12,5,7,29,6.6,29,1,,Aston Villa,3,,3,,3,3,2
383,Luis Diaz,Liverpool,2,MID,8,183,185,2,5,8,28,6.6,25,2,,Brighton,1,,2,,1,3,2
581,James Maddison,Spurs,1,MID,8,133,136,3,4,7,21,6.5,18,1,,Bournemouth,3,,1,,2,2,1
119,Bryan Mbeumo,Man Utd,1,MID,7,236,244,8,6,8,38,6.4,35,1,,Brentford,2,,2,,3,1,3
16,Bukayo Saka,Arsenal,1,MID,10,127,127,0,5,10,20,6.4,13,3,,Chelsea,1,,1,,2,1,2
235,Cole Palmer,Chelsea,1,MID,11,214,222,8,6,11,36,6.2,21,1,,Crystal Palace,3,,3,,3,1,3
499,Alexander Isak,Newcastle,2,FWD,9,211,209,-2,6,9,34,6.1,25,1,,Everton,1,,1,,1,3,1
384,Cody Gakpo,Liverpool,2,MID,8,127,137,10,4,7,23,6.0,18,2,,Fulham,2,,3,,2,1,3
580,Brennan Johnson,Spurs,1,MID,7,137,138,1,4,6,24,5.8,21,1,,Liverpool,2,,2,,1,3,2
451,Marcus Rashford,Man Utd,1,MID,7,95,93,-2,4,7,16,5.8,13,1,,Man City,1,,2,,1,1,3
430,Erling Haaland,Man City,1,FWD,15,181,179,-2,6,15,31,5.8,12,2,,Man Utd,1,,1,,1,3,1
120,Kevin Schade,Brentford,2,MID,6,149,152,3,4,5,26,5.8,28,2,,Newcastle,2,,1,,2,3,1
64,Ollie Watkins,Aston Villa,3,FWD,9,186,180,-6,5,9,31,5.8,20,3,,Nott'm Forest,1,,1,,3,1,3
449,Bruno Fernandes,Man Utd,1,MID,9,174,193,19,5,8,35,5.5,23,1,,Spurs,1,,1,,1,1,2
160,Yankuba Minteh,Brighton,1,MID,6,102,110,8,3,5,20,5.5,20,2,,West Ham,3,,2,,3,2,1
20,Leandro Trossard,Arsenal,1,MID,7,152,154,2,4,7,28,5.5,22,3,,Wolves,3,,3,,3,1,1
525,Chris Wood,Nott'm Forest,1,FWD,6,200,194,-6,6,7,35,5.5,32,1,,Leeds United,3,,2,,3,2,1
83,O.Dango,Bournemouth,3,MID,5,111,115,4,4,5,21,5.5,23,1,,Sunderland,3,,3,,2,3,2
624,Jarrod Bowen,West Ham,3,FWD,8,193,188,-5,6,8,34,5.5,25,2,,Burnley,2,,3,,2,2,3
579,Son,Spurs,1,MID,10,129,129,0,4,10,24,5.4,13,1,,,,,,,,,
135,Yoane Wissa,Brentford,2,FWD,6,185,183,-2,5,7,34,5.4,31,2,,,,,,,,,
178,Danny Welbeck,Brighton,1,FWD,6,125,128,3,4,6,24,5.3,23,2,,,,,,,,,
249,Joao Pedro,Chelsea,1,FWD,6,126,121,-5,5,6,23,5.3,22,1,,,,,,,,,
489,Jacob Murphy,Newcastle,2,MID,6,159,165,6,5,5,31,5.3,30,1,,,,,,,,,
81,Justin Kluivert,Bournemouth,3,MID,6,158,155,-3,5,6,29,5.3,28,1,,,,,,,,,
19,Gabriel Martinelli,Arsenal,1,MID,7,125,131,6,4,7,25,5.2,19,3,,,,,,,,,
157,Mitoma,Brighton,1,MID,7,145,145,0,4,6,28,5.2,22,2,,,,,,,,,
414,Phil Foden,Man City,1,MID,10,105,104,-1,4,9,20,5.2,11,2,,,,,,,,,
387,Dominik Szoboszlai,Liverpool,2,MID,7,143,149,6,4,6,29,5.1,23,2,,,,,,,,,
267,Ismaila Sarr,Crystal Palace,3,MID,6,149,150,1,4,6,30,5.0,25,3,,,,,,,,,
386,Alexis Mac Allister,Liverpool,2,MID,7,122,146,24,4,6,30,4.9,22,2,,,,,,,,,
266,Eberechi Eze,Crystal Palace,3,MID,7,148,152,4,4,7,31,4.9,22,3,,,,,,,,,
654,Jorgen Strand Larsen,Wolves,3,FWD,6,145,146,1,4,5,30,4.9,27,3,,,,,,,,,
505,Nikola Milenkovic,Nott'm Forest,1,DEF,5,145,178,33,4,5,37,4.8,40,1,,,,,,,,,
299,Iliman Ndiaye,Everton,1,MID,6,114,140,26,4,5,29,4.8,25,1,,,,,,,,,
453,Alejandro Garnacho,Man Utd,1,MID,7,106,111,5,3,6,23,4.8,17,1,,,,,,,,,
473,Lewis Hall,Newcastle,2,DEF,5,102,114,12,4,5,24,4.8,25,1,,,,,,,,,
337,Raul,Fulham,2,FWD,6,147,145,-2,4,5,30,4.8,26,3,,,,,,,,,
486,Anthony Elanga,Newcastle,2,MID,6,153,149,-4,4,6,31,4.8,27,1,,,,,,,,,
506,Murillo,Nott'm Forest,1,DEF,5,130,169,39,4,5,36,4.7,38,1,,,,,,,,,
422,Mateo Kovacic,Man City,1,MID,6,109,118,9,4,5,25,4.7,21,2,,,,,,,,,
82,Antoine Semenyo,Bournemouth,3,MID,6,165,169,4,5,6,36,4.7,31,1,,,,,,,,,
291,James Tarkowski,Everton,1,DEF,5,105,151,46,3,5,33,4.6,30,1,,,,,,,,,
515,Morgan Gibbs-White,Nott'm Forest,1,MID,7,154,155,1,5,7,34,4.6,24,1,,,,,,,,,
325,Emile Smith Rowe,Fulham,2,MID,6,114,114,0,3,5,25,4.6,21,3,,,,,,,,,
508,Neco Williams,Nott'm Forest,1,DEF,5,109,127,18,3,5,28,4.5,28,1,,,,,,,,,
403,Josko Gvardiol,Man City,1,DEF,6,153,162,9,4,7,36,4.5,27,2,,,,,,,,,
237,Enzo,Chelsea,1,MID,5,135,143,8,4,5,32,4.5,29,1,,,,,,,,,
30,Kai Havertz,Arsenal,1,FWD,8,97,95,-2,4,8,21,4.5,12,3,,,,,,,,,
324,Alex Iwobi,Fulham,2,MID,6,156,159,3,4,5,35,4.5,29,3,,,,,,,,,
47,Morgan Rogers,Aston Villa,3,MID,5,161,166,5,4,6,37,4.5,33,3,,,,,,,,,
283,Jean-Philippe Mateta,Crystal Palace,3,FWD,8,150,150,0,4,8,33,4.5,20,3,,,,,,,,,
97,Evanilson,Bournemouth,3,FWD,6,128,126,-2,4,6,28,4.5,21,1,,,,,,,,,
21,Declan Rice,Arsenal,1,MID,7,127,146,19,4,6,33,4.4,22,3,,,,,,,,,
287,Jordan Pickford,Everton,1,GK,5,158,166,8,4,5,38,4.4,33,1,,,,,,,,,
5,Gabriel,Arsenal,1,DEF,6,117,123,6,4,6,28,4.4,21,3,,,,,,,,,
17,Martin Odegaard,Arsenal,1,MID,9,116,115,-1,4,8,26,4.4,14,3,,,,,,,,,
373,Virgil,Liverpool,2,DEF,6,143,164,21,4,7,37,4.4,27,2,,,,,,,,,
491,Sandro Tonali,Newcastle,2,MID,6,106,124,18,3,6,28,4.4,23,1,,,,,,,,,
485,Anthony Gordon,Newcastle,2,MID,8,124,124,0,4,7,28,4.4,17,1,,,,,,,,,
517,Elliot Anderson,Nott'm Forest,1,MID,5,107,143,36,3,5,33,4.3,29,1,,,,,,,,,
399,Ederson M.,Man City,1,GK,6,111,112,1,4,5,26,4.3,20,2,,,,,,,,,
583,Dejan Kulusevski,Spurs,1,MID,7,117,117,0,4,6,27,4.3,18,1,,,,,,,,,
236,Pedro Neto,Chelsea,1,MID,7,104,104,0,3,6,24,4.3,16,1,,,,,,,,,
596,Dominic Solanke,Spurs,1,FWD,8,108,107,-1,4,7,25,4.3,14,1,,,,,,,,,
251,Nicolas Jackson,Chelsea,1,FWD,8,121,119,-2,4,8,28,4.3,16,1,,,,,,,,,
18,Noni Madueke,Arsenal,1,MID,7,120,117,-3,4,6,27,4.3,18,3,,,,,,,,,
121,Mikkel Damsgaard,Brentford,2,MID,5,131,147,16,3,5,34,4.3,29,2,,,,,,,,,
613,Tomas Soucek,West Ham,3,MID,5,126,130,4,4,5,30,4.3,26,2,,,,,,,,,
24,Christian Norgaard,Arsenal,1,MID,5,107,142,35,3,5,34,4.2,28,3,,,,,,,,,
224,Marc Cucurella,Chelsea,1,DEF,5,133,140,7,4,5,33,4.2,28,1,,,,,,,,,
257,Maxence Lacroix,Crystal Palace,3,DEF,5,114,147,33,3,5,35,4.2,33,3,,,,,,,,,
48,Youri Tielemans,Aston Villa,3,MID,6,121,146,25,3,6,35,4.2,27,3,,,,,,,,,
256,Daniel Munoz,Crystal Palace,3,DEF,5,142,157,15,4,5,37,4.2,31,3,,,,,,,,,
6,William Saliba,Arsenal,1,DEF,6,130,142,12,4,6,35,4.1,24,3,,,,,,,,,
516,Callum Hudson-Odoi,Nott'm Forest,1,MID,6,103,102,-1,3,5,25,4.1,19,1,,,,,,,,,
250,Liam Delap,Chelsea,1,FWD,6,132,130,-2,4,6,32,4.1,24,1,,,,,,,,,
8,Jurrien Timber,Arsenal,1,DEF,6,114,112,-2,4,6,27,4.1,20,3,,,,,,,,,
502,Matz Sels,Nott'm Forest,1,GK,5,150,152,2,4,5,38,4.0,34,1,,,,,,,,,
106,Nathan Collins,Brentford,2,DEF,5,127,153,26,3,5,38,4.0,34,2,,,,,,,,,
488,Bruno G.,Newcastle,2,MID,7,135,151,16,4,6,38,4.0,23,1,,,,,,,,,
474,Fabian Schar,Newcastle,2,DEF,6,118,131,13,4,6,33,4.0,24,1,,,,,,,,,
366,Alisson Becker,Liverpool,2,GK,6,112,112,0,4,6,28,4.0,20,2,,,,,,,,,
568,Pedro Porro,Spurs,1,DEF,6,98,108,10,3,5,28,3.9,20,1,,,,,,,,,
507,Ola Aina,Nott'm Forest,1,DEF,5,128,135,7,4,5,35,3.9,30,1,,,,,,,,,
220,Robert Sanchez,Chelsea,1,GK,5,126,124,-2,4,5,32,3.9,28,1,,,,,,,,,
490,Joelinton,Newcastle,2,MID,6,99,114,15,3,6,29,3.9,19,1,,,,,,,,,
292,Vitalii Mykolenko,Everton,1,DEF,5,121,133,12,4,4,35,3.8,30,1,,,,,,,,,
1,David Raya,Arsenal,1,GK,6,142,146,4,4,6,38,3.8,27,3,,,,,,,,,
316,Antonee Robinson,Fulham,2,DEF,5,106,133,27,3,5,35,3.8,30,3,,,,,,,,,
374,Ibrahima Konate,Liverpool,2,DEF,5,106,115,9,3,5,30,3.8,23,2,,,,,,,,,
260,Marc Guehi,Crystal Palace,3,DEF,5,116,128,12,3,5,34,3.8,28,3,,,,,,,,,
241,Moises Caicedo,Chelsea,1,MID,5,98,141,43,3,5,38,3.7,28,1,,,,,,,,,
476,Dan Burn,Newcastle,2,DEF,5,115,136,21,3,5,37,3.7,30,1,,,,,,,,,
610,Aaron Wan-Bissaka,West Ham,3,DEF,5,118,130,12,3,5,35,3.7,29,2,,,,,,,,,
253,Dean Henderson,Crystal Palace,3,GK,5,135,139,4,4,5,38,3.7,31,3,,,,,,,,,
582,Mohammed Kudus,Spurs,1,MID,7,106,111,5,3,6,31,3.6,17,1,,,,,,,,,
432,Andre Onana,Man Utd,1,GK,5,120,121,1,4,5,34,3.6,24,1,,,,,,,,,
371,Milos Kerkez,Liverpool,2,DEF,5,134,137,3,4,5,38,3.6,30,2,,,,,,,,,
469,Nick Pope,Newcastle,2,GK,5,102,102,0,4,5,28,3.6,20,1,,,,,,,,,
402,Rayan Ait-Nouri,Man City,1,DEF,5,125,128,3,3,5,37,3.5,28,2,,,,,,,,,
477,Tino Livramento,Newcastle,2,DEF,5,105,113,8,3,5,32,3.5,25,1,,,,,,,,,
258,Tyrick Mitchell,Crystal Palace,3,DEF,5,123,131,8,3,5,37,3.5,26,3,,,,,,,,,
227,Levi Colwill,Chelsea,1,DEF,5,109,116,7,3,4,35,3.3,26,1,,,,,,,,,
38,Ezri Konsa,Aston Villa,3,DEF,5,103,106,3,3,5,33,3.2,24,3,,,,,,,,,
440,Diogo Dalot,Man Utd,1,DEF,5,95,95,0,3,5,31,3.1,19,1,,,,,,,,,
314,Bernd Leno,Fulham,2,GK,5,115,117,2,3,5,38,3.1,23,3,,,,,,,,,
139,Bart Verbruggen,Brighton,1,GK,5,103,106,3,3,5,36,2.9,24,2,,,,,,,,,
