id,player_name,Position ,total_points,new_points,diff_vs_prev_year,points_per_game,start_cost,prev_season_cost,starts,points_per_start,pts/£,team
505,Nikola Milenkovic,DEF,145,178,33,4,5,5,37,4.8,40,Nott'm Forest
506,Murillo,DEF,130,169,39,4,5,5,36,4.7,38,Nott'm Forest
119,Bryan Mbeumo,MID,236,244,8,6,7,8,38,6.4,35,Man Utd
106,Nathan Collins,DEF,127,153,26,3,5,5,38,4.0,34,Brentford
502,Matz Sels,GK,150,152,2,4,5,5,38,4.0,34,Nott'm Forest
47,Morgan Rogers,MID,161,166,5,4,5,6,37,4.5,33,Aston Villa
287,Jordan Pickford,GK,158,166,8,4,5,5,38,4.4,33,Everton
257,Maxence Lacroix,DEF,114,147,33,3,5,5,35,4.2,33,Crystal Palace
525,Chris Wood,FWD,200,194,-6,6,6,7,35,5.5,32,Nott'm Forest
256,Daniel Munoz,DEF,142,157,15,4,5,5,37,4.2,31,Crystal Palace
253,Dean Henderson,GK,135,139,4,4,5,5,38,3.7,31,Crystal Palace
82,Antoine Semenyo,MID,165,169,4,5,6,6,36,4.7,31,Bournemouth
135,Yoane Wissa,FWD,185,183,-2,5,6,7,34,5.4,31,Brentford
371,Milos Kerkez,DEF,134,137,3,4,5,5,38,3.6,30,Liverpool
476,Dan Burn,DEF,115,136,21,3,5,5,37,3.7,30,Newcastle
291,James Tarkowski,DEF,105,151,46,3,5,5,33,4.6,30,Everton
489,Jacob Murphy,MID,159,165,6,5,6,5,31,5.3,30,Newcastle
507,Ola Aina,DEF,128,135,7,4,5,5,35,3.9,30,Nott'm Forest
292,Vitalii Mykolenko,DEF,121,133,12,4,5,4,35,3.8,30,Everton
316,Antonee Robinson,DEF,106,133,27,3,5,5,35,3.8,30,Fulham
121,Mikkel Damsgaard,MID,131,147,16,3,5,5,34,4.3,29,Brentford
450,Matheus Cunha,MID,178,190,12,5,7,7,29,6.6,29,Man Utd
324,Alex Iwobi,MID,156,159,3,4,6,5,35,4.5,29,Fulham
610,Aaron Wan-Bissaka,DEF,118,130,12,3,5,5,35,3.7,29,West Ham
237,Enzo,MID,135,143,8,4,5,5,32,4.5,29,Chelsea
517,Elliot Anderson,MID,107,143,36,3,5,5,33,4.3,29,Nott'm Forest
260,Marc Guehi,DEF,116,128,12,3,5,5,34,3.8,28,Crystal Palace
402,Rayan Ait-Nouri,DEF,125,128,3,3,5,5,37,3.5,28,Man City
24,Christian Norgaard,MID,107,142,35,3,5,5,34,4.2,28,Arsenal
508,Neco Williams,DEF,109,127,18,3,5,5,28,4.5,28,Nott'm Forest
241,Moises Caicedo,MID,98,141,43,3,5,5,38,3.7,28,Chelsea
81,Justin Kluivert,MID,158,155,-3,5,6,6,29,5.3,28,Bournemouth
224,Marc Cucurella,DEF,133,140,7,4,5,5,33,4.2,28,Chelsea
381,Mohamed Salah,MID,344,346,2,9,13,14,38,9.1,28,Liverpool
120,Kevin Schade,MID,149,152,3,4,6,5,26,5.8,28,Brentford
220,Robert Sanchez,GK,126,124,-2,4,5,5,32,3.9,28,Chelsea
373,Virgil,DEF,143,164,21,4,6,7,37,4.4,27,Liverpool
486,Anthony Elanga,MID,153,149,-4,4,6,6,31,4.8,27,Newcastle
403,Josko Gvardiol,DEF,153,162,9,4,6,7,36,4.5,27,Man City
452,Amad,MID,129,133,4,5,5,5,20,6.7,27,Man Utd
654,Jorgen Strand Larsen,FWD,145,146,1,4,6,5,30,4.9,27,Wolves
48,Youri Tielemans,MID,121,146,25,3,6,6,35,4.2,27,Aston Villa
1,David Raya,GK,142,146,4,4,6,6,38,3.8,27,Arsenal
337,Raul,FWD,147,145,-2,4,6,5,30,4.8,26,Fulham
258,Tyrick Mitchell,DEF,123,131,8,3,5,5,37,3.5,26,Crystal Palace
613,Tomas Soucek,MID,126,130,4,4,5,5,30,4.3,26,West Ham
227,Levi Colwill,DEF,109,116,7,3,5,4,35,3.3,26,Chelsea
299,Iliman Ndiaye,MID,114,140,26,4,6,5,29,4.8,25,Everton
473,Lewis Hall,DEF,102,114,12,4,5,5,24,4.8,25,Newcastle
477,Tino Livramento,DEF,105,113,8,3,5,5,32,3.5,25,Newcastle
624,Jarrod Bowen,FWD,193,188,-5,6,8,8,34,5.5,25,West Ham
267,Ismaila Sarr,MID,149,150,1,4,6,6,30,5.0,25,Crystal Palace
383,Luis Diaz,MID,183,185,2,5,8,8,28,6.6,25,Liverpool
499,Alexander Isak,FWD,211,209,-2,6,9,9,34,6.1,25,Newcastle
432,Andre Onana,GK,120,121,1,4,5,5,34,3.6,24,Man Utd
515,Morgan Gibbs-White,MID,154,155,1,5,7,7,34,4.6,24,Nott'm Forest
474,Fabian Schar,DEF,118,131,13,4,6,6,33,4.0,24,Newcastle
6,William Saliba,DEF,130,142,12,4,6,6,35,4.1,24,Arsenal
250,Liam Delap,FWD,132,130,-2,4,6,6,32,4.1,24,Chelsea
38,Ezri Konsa,DEF,103,106,3,3,5,5,33,3.2,24,Aston Villa
139,Bart Verbruggen,GK,103,106,3,3,5,5,36,2.9,24,Brighton
314,Bernd Leno,GK,115,117,2,3,5,5,38,3.1,23,Fulham
178,Danny Welbeck,FWD,125,128,3,4,6,6,24,5.3,23,Brighton
488,Bruno G.,MID,135,151,16,4,7,6,38,4.0,23,Newcastle
83,O.Dango,MID,111,115,4,4,5,5,21,5.5,23,Bournemouth
374,Ibrahima Konate,DEF,106,115,9,3,5,5,30,3.8,23,Liverpool
387,Dominik Szoboszlai,MID,143,149,6,4,7,6,29,5.1,23,Liverpool
449,Bruno Fernandes,MID,174,193,19,5,9,8,35,5.5,23,Man Utd
491,Sandro Tonali,MID,106,124,18,3,6,6,28,4.4,23,Newcastle
386,Alexis Mac Allister,MID,122,146,24,4,7,6,30,4.9,22,Liverpool
21,Declan Rice,MID,127,146,19,4,7,6,33,4.4,22,Arsenal
157,Mitoma,MID,145,145,0,4,7,6,28,5.2,22,Brighton
20,Leandro Trossard,MID,152,154,2,4,7,7,28,5.5,22,Arsenal
249,Joao Pedro,FWD,126,121,-5,5,6,6,23,5.3,22,Chelsea
266,Eberechi Eze,MID,148,152,4,4,7,7,31,4.9,22,Crystal Palace
422,Mateo Kovacic,MID,109,118,9,4,6,5,25,4.7,21,Man City
580,Brennan Johnson,MID,137,138,1,4,7,6,24,5.8,21,Spurs
235,Cole Palmer,MID,214,222,8,6,11,11,36,6.2,21,Chelsea
97,Evanilson,FWD,128,126,-2,4,6,6,28,4.5,21,Bournemouth
325,Emile Smith Rowe,MID,114,114,0,3,6,5,25,4.6,21,Fulham
5,Gabriel,DEF,117,123,6,4,6,6,28,4.4,21,Arsenal
469,Nick Pope,GK,102,102,0,4,5,5,28,3.6,20,Newcastle
399,Ederson M.,GK,111,112,1,4,6,5,26,4.3,20,Man City
8,Jurrien Timber,DEF,114,112,-2,4,6,6,27,4.1,20,Arsenal
366,Alisson Becker,GK,112,112,0,4,6,6,28,4.0,20,Liverpool
64,Ollie Watkins,FWD,186,180,-6,5,9,9,31,5.8,20,Aston Villa
160,Yankuba Minteh,MID,102,110,8,3,6,5,20,5.5,20,Brighton
283,Jean-Philippe Mateta,FWD,150,150,0,4,8,8,33,4.5,20,Crystal Palace
487,Harvey Barnes,MID,130,128,-2,4,7,6,17,7.5,20,Newcastle
568,Pedro Porro,DEF,98,108,10,3,6,5,28,3.9,20,Spurs
490,Joelinton,MID,99,114,15,3,6,6,29,3.9,19,Newcastle
440,Diogo Dalot,DEF,95,95,0,3,5,5,31,3.1,19,Man Utd
19,Gabriel Martinelli,MID,125,131,6,4,7,7,25,5.2,19,Arsenal
516,Callum Hudson-Odoi,MID,103,102,-1,3,6,5,25,4.1,19,Nott'm Forest
384,Cody Gakpo,MID,127,137,10,4,8,7,23,6.0,18,Liverpool
581,James Maddison,MID,133,136,3,4,8,7,21,6.5,18,Spurs
18,Noni Madueke,MID,120,117,-3,4,7,6,27,4.3,18,Arsenal
583,Dejan Kulusevski,MID,117,117,0,4,7,6,27,4.3,18,Spurs
453,Alejandro Garnacho,MID,106,111,5,3,7,6,23,4.8,17,Man Utd
582,Mohammed Kudus,MID,106,111,5,3,7,6,31,3.6,17,Spurs
485,Anthony Gordon,MID,124,124,0,4,8,7,28,4.4,17,Newcastle
236,Pedro Neto,MID,104,104,0,3,7,6,24,4.3,16,Chelsea
