gameweek,team,team_gw_points
1,Think Tank,0
1,Youngsters,0
2,Think Tank,0
2,Youngsters,0
3,Think Tank,0
3,Youngsters,0
4,Think Tank,0
4,Youngsters,0
5,Think Tank,0
5,Youngsters,0
6,Think Tank,0
6,Youngsters,0
7,Think Tank,0
7,Youngsters,0
8,Think Tank,0
8,Youngsters,0
9,Think Tank,0
9,Youngsters,0
10,Think Tank,0
10,Youngsters,0
11,Think Tank,0
11,Youngsters,0
12,Think Tank,0
12,Youngsters,0
13,Think Tank,0
13,Youngsters,0
14,Think Tank,0
14,Youngsters,0
15,Think Tank,0
15,Youngsters,0
16,Think Tank,0
16,Youngsters,0
17,Think Tank,0
17,Youngsters,0
18,Think Tank,0
18,Youngsters,0
